"Series title","1/1/2007","2/1/2007","3/1/2007","4/1/2007","5/1/2007","6/1/2007","7/1/2007","8/1/2007","9/1/2007","10/1/2007","11/1/2007","12/1/2007","1/1/2008","2/1/2008","3/1/2008","4/1/2008","5/1/2008","6/1/2008","7/1/2008","8/1/2008","9/1/2008","10/1/2008","11/1/2008","12/1/2008","1/1/2009","2/1/2009","3/1/2009","4/1/2009","5/1/2009","6/1/2009","7/1/2009","8/1/2009","9/1/2009","10/1/2009","11/1/2009","12/1/2009","1/1/2010","2/1/2010","3/1/2010","4/1/2010","5/1/2010","6/1/2010","7/1/2010","8/1/2010","9/1/2010","10/1/2010","11/1/2010","12/1/2010","1/1/2011","2/1/2011","3/1/2011","4/1/2011","5/1/2011","6/1/2011","7/1/2011","8/1/2011","9/1/2011","10/1/2011","11/1/2011","12/1/2011","1/1/2012","2/1/2012","3/1/2012","4/1/2012","5/1/2012","6/1/2012","7/1/2012","8/1/2012","9/1/2012","10/1/2012","11/1/2012","12/1/2012","1/1/2013","2/1/2013","3/1/2013","4/1/2013","5/1/2013","6/1/2013","7/1/2013","8/1/2013","9/1/2013","10/1/2013","11/1/2013","12/1/2013","1/1/2014","2/1/2014","3/1/2014","4/1/2014","5/1/2014","6/1/2014","7/1/2014","8/1/2014","9/1/2014","10/1/2014","11/1/2014","12/1/2014","1/1/2015","2/1/2015","3/1/2015","4/1/2015","5/1/2015","6/1/2015","7/1/2015","8/1/2015","9/1/2015","10/1/2015","11/1/2015","12/1/2015","1/1/2016","2/1/2016","3/1/2016","4/1/2016","5/1/2016","6/1/2016","7/1/2016","8/1/2016","9/1/2016","10/1/2016","11/1/2016","12/1/2016","1/1/2017","2/1/2017","3/1/2017","4/1/2017","5/1/2017","6/1/2017","7/1/2017","8/1/2017","9/1/2017","10/1/2017","11/1/2017","12/1/2017","1/1/2018","2/1/2018","3/1/2018","4/1/2018","5/1/2018","6/1/2018","7/1/2018","8/1/2018","9/1/2018","10/1/2018","11/1/2018","12/1/2018","1/1/2019","2/1/2019","3/1/2019","4/1/2019","5/1/2019","6/1/2019","7/1/2019","8/1/2019","9/1/2019","10/1/2019","11/1/2019","12/1/2019","1/1/2020","2/1/2020","3/1/2020","4/1/2020","5/1/2020","6/1/2020","7/1/2020","8/1/2020","9/1/2020","10/1/2020","11/1/2020"
" Maryland ","4","3.8","3.4","3.2","3.3","3.7","3.7","3.4","3.3","3.3","3.1","3.1","3.6","3.5","3.4","3.2","3.8","4.3","4.4","4.6","4.5","4.8","5","5.4","6.5","6.8","6.8","6.5","6.9","7.3","7.2","7.2","7.1","7.2","7.2","7.3","8.1","8.3","8.1","7.3","7.4","7.7","7.8","7.7","7.4","7.3","7.4","7.2","7.8","7.6","7.3","6.9","7.1","7.6","7.5","7.4","7.2","7","6.8","6.8","7.4","7.4","7","6.5","6.8","7.3","7.3","7.1","6.7","6.7","6.6","6.7","7.3","7.1","6.8","6.3","6.6","7","6.7","6.5","6.2","6.5","6.1","5.8","6.4","6.4","6.1","5.4","5.7","6","6.1","5.9","5.5","5.5","5.4","5.2","5.9","5.7","5.4","4.8","5.1","5.3","5.3","5","4.7","4.7","4.6","4.4","4.9","4.8","4.6","4.1","4.2","4.7","4.6","4.5","4.3","4.4","4.2","4.1","4.8","4.6","4.3","3.9","4","4.4","4.4","4.3","4","4","4.1","4","4.6","4.5","4.1","3.7","3.7","4.3","4.1","4","3.6","3.6","3.5","3.6","4.3","4","3.7","3.2","3.4","3.9","3.9","3.7","3.3","3.3","3.2","3","3.6","3.5","3.5","9.8","9.7","8.5","8","7.2","7.3","7.6","6.6"
" Allegany County","6.6","6.8","5.6","4.7","4.6","5","5.1","5","4.6","4.3","4.1","4.6","5.6","5.6","5.6","4.7","4.9","5.6","5.6","5.9","5.6","5.9","6.1","6.8","9.2","9.2","9.2","8.1","8.1","8.9","8.2","8.2","7.7","8","8.4","8.9","11.1","11.1","10.3","8.8","8.8","9.3","9.3","9","8.4","8.5","8.6","8.9","10.6","10.4","9.4","8.5","8.6","9.5","9.1","8.9","8.5","8.3","8.1","8.7","10.1","9.7","9.1","8.3","8.6","9.5","9.3","8.9","8.1","8.3","8.3","8.7","10.3","9.6","9","8.1","8.2","8.7","8.7","8.4","7.6","7.6","7.8","7.8","9.2","9.2","8.3","7","7.1","7.8","7.8","7.4","6.7","6.7","6.7","7.1","8.7","8.3","7.6","6.4","6.6","7.2","7.3","6.8","6","6","6.2","6.4","7.6","7.6","6.9","5.9","5.6","6.5","6.3","6.3","5.5","5.5","5.3","6","7.5","7.1","6.5","5.6","5.3","6.1","5.8","5.7","5","5.1","5.2","5.7","7","6.6","6","5.4","5","5.9","5.8","5.6","4.7","4.6","4.7","5.1","6","5.8","5.3","4.4","4.5","5.6","5.7","5.9","4.9","4.8","4.6","4.5","5.6","5.4","5.3","13.2","11.5","9.7","8.3","7.2","7.4","7.3","6.6"
" Anne Arundel County","3.4","3.2","2.9","2.7","2.9","3.3","3.3","3.1","2.9","2.8","2.7","2.7","3","3","2.9","2.8","3.4","4","4.1","4.2","4","4.3","4.4","4.7","5.7","6.1","6.1","5.9","6.3","6.6","6.7","6.6","6.5","6.6","6.6","6.7","7.4","7.6","7.3","6.7","6.7","7","7.2","7","6.6","6.4","6.6","6.3","6.7","6.6","6.3","5.9","6.2","6.7","6.6","6.6","6.4","6.1","5.8","5.8","6.3","6.3","6","5.6","5.9","6.5","6.4","6.3","5.8","5.8","5.6","5.7","6.2","6","5.8","5.4","5.7","6.2","6","5.8","5.5","5.6","5.2","4.9","5.5","5.5","5.3","4.6","5","5.3","5.4","5.3","4.8","4.8","4.7","4.4","5.1","4.8","4.6","4.1","4.5","4.7","4.6","4.4","4.2","4.1","4","3.7","4.1","4.1","3.9","3.4","3.6","4","4.1","4","3.8","3.8","3.6","3.5","4","3.9","3.6","3.4","3.5","4","3.8","3.8","3.4","3.5","3.5","3.2","3.8","3.8","3.5","3","3.2","3.7","3.6","3.4","3.1","3.1","3","2.9","3.6","3.4","3.2","2.7","3","3.3","3.4","3.3","2.8","2.8","2.7","2.5","3","3","2.9","9.8","9.1","7.6","6.9","6","6.1","6.2","5.3"
" Baltimore city","6.3","5.9","5.3","5.2","5.2","5.9","6","5.8","5.4","5.2","5.1","5","5.6","5.3","5.2","5","5.7","6.6","6.9","7.3","7.1","7.3","7.7","8.1","9.6","9.7","9.7","9.4","9.9","10.5","10.8","10.9","10.4","10.5","10.6","10.6","11.3","11.6","11.5","10.6","10.8","11.3","11.7","11.8","11.2","10.8","11","10.8","11.4","11.1","10.6","10.2","10.4","11.2","11.2","11.1","10.5","10.2","9.9","9.8","10.5","10.3","9.9","9.4","9.9","10.7","10.9","10.7","10","10","9.8","9.9","10.8","10.3","9.8","9.3","9.5","10.1","10.1","9.8","9.2","9.4","9.1","8.8","9.5","9.3","8.9","8","8.4","8.8","9","8.9","8","8","8","7.8","8.7","8.4","7.9","7.2","7.5","7.8","8","7.7","6.9","6.9","6.8","6.6","7.3","7.1","6.8","6.3","6.1","6.8","6.9","7.1","6.3","6.4","6.2","6.2","7","6.7","6.4","6.1","5.8","6.5","6.5","6.8","5.9","5.8","5.9","6","6.6","6.3","5.9","5.5","5.4","6.1","6.1","6.4","5.2","5.2","5","5.2","5.8","5.4","5.2","4.7","4.9","5.5","5.5","5.7","4.8","4.8","4.6","4.2","4.9","4.7","4.9","11.6","11.5","10.5","10.3","9.5","9.9","10","8.5"
" Baltimore County","4.1","3.9","3.4","3.2","3.4","3.8","3.7","3.5","3.4","3.4","3.2","3.2","3.6","3.6","3.5","3.4","4","4.5","4.6","4.7","4.8","5","5.3","5.7","6.7","7.1","7.1","6.9","7.4","7.7","7.7","7.6","7.6","7.7","7.7","7.8","8.6","8.8","8.6","7.9","8","8.3","8.5","8.4","8.2","7.9","8.1","7.9","8.3","8.1","7.7","7.3","7.6","8.1","7.9","7.9","7.7","7.4","7.1","7.1","7.7","7.6","7.3","6.8","7.2","7.8","7.8","7.6","7.2","7.2","7","7","7.7","7.4","7.1","6.6","6.9","7.3","7.1","6.8","6.6","6.6","6.3","6","6.6","6.6","6.4","5.7","6","6.4","6.5","6.3","5.8","5.7","5.6","5.4","6.1","5.9","5.6","5","5.3","5.6","5.5","5.2","4.9","4.9","4.8","4.6","5","5","4.7","4.4","4.4","4.9","4.8","4.8","4.6","4.6","4.5","4.4","5","4.8","4.5","4.2","4.2","4.6","4.5","4.5","4.2","4.2","4.2","4.1","4.7","4.6","4.2","3.8","3.9","4.4","4.3","4.1","3.7","3.8","3.6","3.7","4.3","4.1","3.9","3.4","3.6","4","4","3.9","3.4","3.5","3.3","3.1","3.6","3.6","3.6","10.5","10.1","8.5","8","7.2","7.4","7.5","6.3"
" Calvert County","3.1","3","2.7","2.6","2.7","3.3","3.3","2.9","2.6","2.5","2.4","2.4","2.9","2.8","2.6","2.6","3.1","3.7","3.9","3.9","3.6","3.8","4","4.4","5.3","5.7","5.4","5.3","5.8","6.3","6.3","6.1","6","6.1","5.9","6","7.3","7.5","7.1","6.6","6.7","7","7.3","7.1","6.7","6.5","6.5","6.2","6.7","6.5","6.3","6","6.4","6.9","7","7","6.6","6.4","6.1","6","6.5","6.6","6.3","5.9","6.2","6.8","6.9","6.5","5.9","5.9","5.8","5.9","6.4","6.2","6","5.6","6","6.5","6.3","6","5.6","5.9","5.4","5.1","5.7","5.7","5.6","5","5.3","5.6","5.9","5.7","5","5","4.8","4.6","5.1","4.8","4.7","4.2","4.6","4.9","5.1","4.8","4.4","4.4","4.1","3.8","4.2","4.1","3.9","3.5","3.7","4.2","4.3","4.1","3.8","3.8","3.5","3.5","4.1","3.9","3.6","3.3","3.5","4.1","4","3.8","3.5","3.6","3.7","3.4","4.1","3.9","3.6","3.3","3.4","3.9","4","3.7","3.3","3.3","3.1","3","3.8","3.5","3.3","2.8","3","3.6","3.7","3.4","2.8","2.8","2.7","2.5","3","3","2.9","8.1","7.7","6.4","6.1","5.3","5.3","5.5","4.9"
" Caroline County","5.1","4.9","4.3","3.8","3.9","4.2","4.1","4","3.7","3.8","3.9","4","5","5","4.8","4.3","4.7","5","5.1","5.3","5.4","5.7","6.4","7.2","9","9.5","9.4","8.2","8.6","8.7","8.6","8.6","8.8","9","9.5","10","10.4","11.1","10.4","9","8.7","8.9","9","9","8.5","8.4","8.8","8.7","10","9.8","9.1","8.3","8.3","8.6","8.5","8.4","8.3","8.2","8.1","8.2","9.1","8.9","8.2","7.5","7.6","7.9","7.6","7.5","7","7.1","7.1","7.3","8.1","7.9","7.2","6.7","6.8","7.2","6.9","6.7","6.3","6.5","6.5","6.4","7.2","7.2","6.7","6","6.1","6.4","6.4","6.1","5.6","5.7","5.8","5.8","7","6.8","6.3","5.1","5.1","5.3","5.2","5.1","4.7","4.9","5.1","4.9","5.5","5.6","5.2","4.3","4.3","4.7","4.7","4.7","4.5","4.5","4.7","4.7","5.6","5.5","4.8","4.1","4.1","4.3","4.2","4.2","3.8","3.8","4","3.9","5","4.8","4.2","3.4","3.6","4","3.9","3.7","3.3","3.3","3.3","3.4","4.4","4.5","4","3.3","3.3","3.8","3.9","3.5","3","3.1","3.2","3.1","3.8","3.8","3.6","8.7","7.9","6.4","6.1","5.6","5.9","5.9","5.1"
" Carroll County","3.5","3.5","3","2.6","2.7","3.1","3.3","3","2.6","2.6","2.5","2.6","3.1","3.3","3.1","2.7","3.2","3.6","3.9","3.9","3.7","4","4.5","4.9","6.5","6.8","6.6","5.8","6.3","6.5","6.5","6.3","6.1","6.5","6.3","6.6","7.6","7.9","7.3","6.5","6.6","6.8","7","6.9","6.5","6.3","6.4","6.1","6.8","6.7","6.2","5.8","5.9","6.4","6.4","6.4","6","5.8","5.5","5.6","6.3","6.4","6","5.4","5.7","6.3","6.2","6.1","5.6","5.7","5.6","5.6","6.3","6.1","5.8","5.2","5.5","5.9","5.7","5.5","5","5","5","4.7","5.4","5.4","5.2","4.4","4.6","5","5.2","5","4.4","4.4","4.3","4.2","5.1","4.8","4.6","3.9","4.2","4.5","4.4","4.2","3.8","3.9","3.7","3.4","4.1","4.1","3.8","3.2","3.4","3.9","4","3.8","3.6","3.5","3.3","3.2","4","3.9","3.5","3","3.2","3.7","3.7","3.6","3.2","3.3","3.3","3","3.9","3.8","3.4","2.9","3","3.5","3.5","3.2","3","3","2.8","2.8","3.5","3.5","3.1","2.5","2.7","3.2","3.3","3.1","2.6","2.6","2.5","2.4","2.9","3","2.8","9","8.1","6.5","6","5.1","5","4.9","4.4"
" Cecil County","4.3","4.5","4.1","3.8","3.3","3.3","3.9","3.6","3.9","3.8","3.5","3.8","4.8","4.4","3.9","3.9","4.7","4.7","5.1","5.9","5.2","5.8","5.8","6.7","8.7","9","9.2","9","9.2","9.5","9.1","9.8","8.5","8.6","8.9","9.4","10.1","10.7","10.1","9","9.3","9.6","9.8","9.7","9","8.8","9.1","8.9","10","9.9","9.2","8.4","8.6","9","9.2","9.1","8.5","8.3","8","8.3","9.1","9.3","8.6","7.9","8.1","8.8","8.7","8.4","7.7","7.8","7.7","7.9","8.9","8.8","8.3","7.6","7.6","8.3","8","7.5","7","7","6.8","6.7","7.6","7.7","7.3","6.3","6.4","6.7","7","6.7","5.9","5.8","5.8","5.9","7.1","7","6.6","5.5","5.7","6","6.3","6.1","5.4","5.5","5.4","5.2","6","6","5.5","4.8","4.8","5.5","5.4","5.4","5","4.9","4.8","4.8","5.8","5.5","5.2","4.5","4.5","5","5.2","5.2","4.4","4.4","4.5","4.5","5.4","5.2","4.7","4.1","4.1","4.6","4.8","4.7","4","3.9","3.9","3.9","4.5","4.7","4.4","3.6","3.7","4.3","4.5","4.4","3.6","3.5","3.5","3.3","4","4.1","3.9","9.6","8.5","7.2","6.8","6.2","6.2","6.2","5.5"
" Charles County","3.2","3","2.8","2.7","2.8","3.3","3.2","2.9","2.8","2.7","2.6","2.6","2.9","2.9","2.9","2.7","3.2","3.8","4","4","3.8","4.1","4.2","4.5","5.3","5.6","5.5","5.3","5.7","6.1","6.2","6.1","6","6.1","6.1","6.1","7.2","7.3","7.1","6.6","6.7","7","7.2","7.1","6.8","6.7","6.7","6.5","6.9","6.8","6.6","6.3","6.6","7.1","7.1","7.1","6.9","6.6","6.3","6.3","6.7","6.8","6.6","6.3","6.6","7.2","7.2","7","6.4","6.5","6.3","6.4","6.9","6.8","6.5","6.1","6.4","6.9","6.8","6.6","6.1","6.8","6","5.6","6.2","6.2","6","5.4","5.7","6","6.3","6.1","5.4","5.4","5.3","5","5.6","5.4","5.1","4.6","5","5.2","5.4","5.1","4.7","4.7","4.6","4.3","4.6","4.5","4.3","3.9","3.9","4.5","4.7","4.6","4.1","4.2","4","3.8","4.3","4.2","3.9","3.9","3.8","4.5","4.4","4.4","3.8","3.9","3.9","3.7","4.3","4.2","4","3.5","3.6","4.2","4.3","4.2","3.6","3.6","3.4","3.4","4.6","3.9","3.7","3.2","3.4","3.8","4.1","4.1","3.3","3.3","3.2","3","3.5","3.5","3.6","9.1","9.6","8.5","8.1","7.4","7.3","7.5","6.5"
