Rank,County,Population
1,Montgomery County,"1,043,530"
2,Prince George's County,"908,670"
3,Baltimore County,"828,018"
4,Baltimore city/county,"609,032"
5,Anne Arundel County,"571,275"
6,Howard County,"318,855"
7,Harford County,"252,222"
8,Frederick County,"251,422"
9,Carroll County,"167,699"
10,Charles County,"159,428"
11,Washington County,"150,109"
12,St. Mary's County,"112,290"
13,Cecil County,"102,552"
14,Wicomico County,"102,539"
15,Calvert County,"91,511"
16,Allegany County,"71,445"
17,Worcester County,"51,765"
18,Queen Anne's County,"49,632"
19,Talbot County,"37,167"
20,Caroline County,"33,049"
21,Dorchester County,"32,138"
22,Garrett County,"29,235"
23,Somerset County,"25,729"
24,Kent County,"19,536"
